Name_1,TotalCases,ActiveCases,Recovered,Death,Date,Time,NewCases,NoNewCasesSince
Sudan,0,0,0,0,2020-01-23,11:11:11,0,0.0
Suriname,0,0,0,0,2020-01-23,11:11:11,0,0.0
Sweden,0,0,0,0,2020-01-23,11:11:11,0,0.0
Switzerland,0,0,0,0,2020-01-23,11:11:11,0,0.0
Syria,0,0,0,0,2020-01-23,11:11:11,0,0.0
Taiwan,1,1,0,0,2020-01-23,11:11:11,0,0.0
Tanzania,0,0,0,0,2020-01-23,11:11:11,0,0.0
Thailand,3,3,0,0,2020-01-23,11:11:11,1,0.0
Timor-Leste,0,0,0,0,2020-01-23,11:11:11,0,0.0
Togo,0,0,0,0,2020-01-23,11:11:11,0,0.0
Trinidad and Tobago,0,0,0,0,2020-01-23,11:11:11,0,0.0
Tunisia,0,0,0,0,2020-01-23,11:11:11,0,0.0
Turkey,0,0,0,0,2020-01-23,11:11:11,0,0.0
Turks and Caicos,0,0,0,0,2020-01-23,11:11:11,0,0.0
Uganda,0,0,0,0,2020-01-23,11:11:11,0,0.0
Ukraine,0,0,0,0,2020-01-23,11:11:11,0,0.0
UAE,0,0,0,0,2020-01-23,11:11:11,0,0.0
UK,0,0,0,0,2020-01-23,11:11:11,0,0.0
Uruguay,0,0,0,0,2020-01-23,11:11:11,0,0.0
USA,1,1,0,0,2020-01-23,11:11:11,0,0.0
Uzbekistan,0,0,0,0,2020-01-23,11:11:11,0,0.0
Venezuela,0,0,0,0,2020-01-23,11:11:11,0,0.0
Vietnam,2,2,0,0,2020-01-23,11:11:11,2,0.0
Palestine,0,0,0,0,2020-01-23,11:11:11,0,0.0
Zambia,0,0,0,0,2020-01-23,11:11:11,0,0.0
Zimbabwe,0,0,0,0,2020-01-23,11:11:11,0,0.0
Afghanistan,0,0,0,0,2020-01-24,11:11:11,0,0.0
Albania,0,0,0,0,2020-01-24,11:11:11,0,0.0
Algeria,0,0,0,0,2020-01-24,11:11:11,0,0.0
Andorra,0,0,0,0,2020-01-24,11:11:11,0,0.0
Angola,0,0,0,0,2020-01-24,11:11:11,0,0.0
Anguilla,0,0,0,0,2020-01-24,11:11:11,0,0.0
Antigua and Barbuda,0,0,0,0,2020-01-24,11:11:11,0,0.0
Argentina,0,0,0,0,2020-01-24,11:11:11,0,0.0
Armenia,0,0,0,0,2020-01-24,11:11:11,0,0.0
Aruba,0,0,0,0,2020-01-24,11:11:11,0,0.0
Australia,0,0,0,0,2020-01-24,11:11:11,0,0.0
Austria,0,0,0,0,2020-01-24,11:11:11,0,0.0
Azerbaijan,0,0,0,0,2020-01-24,11:11:11,0,0.0
Bahamas,0,0,0,0,2020-01-24,11:11:11,0,0.0
Bahrain,0,0,0,0,2020-01-24,11:11:11,0,0.0
